me,Marke,Einkaufsort,Preis,Kategorie,Bio,Fair,crisp,nuss,traube,rum,chili,echte.vanille,cocos,Kakaogehalt,Gewicht,Anzahl.der.Inhaltsstoffe,Nussanteil,Crisps,Verfallsdatum
Choceur Weisse Crisp,Choceur,Aldi,99,weiss,nein,nein,1,0,0,0,0,0,0,28,200,15,12,6,5
Choceur Alpenvollmilch,Choceur,Aldi,35,vollmilch,nein,nein,0,0,0,0,0,0,0,30,100,10,0,0,9
Choceur Haselnuss,Choceur,Aldi,35,vollmilch,nein,nein,0,1,0,0,0,0,0,30,100,10,12,0,9
Nusskcker,Nusskcker,Aldi,55,vollmilch,nein,nein,0,1,0,0,0,0,0,32,100,9,25,0,6
Happy Halloween,Meybo,Bio Bio,199,vollmilch,ja,nein,0,0,0,0,0,1,0,35,100,6,0,0,15
S��es statt Saures,Meybo,Bio Bio,199,bitter,ja,nein,0,0,0,0,0,1,0,72,100,6,0,0,14
Praline Rum,turata,Bio Bio,249,vollmilch,ja,nein,0,0,0,1,0,1,0,35,100,11,2,0,6
Rum Traube Nuss,Rapunzel,Bio Bio,199,vollmilch,ja,nein,0,1,1,1,0,1,0,38,100,10,4,0,6
Edelbitter Chili,Vivani,Bio Bio,199,bitter,ja,nein,0,0,0,0,1,0,0,70,100,4,0,0,17
Weisse Knusper,Vivani,Bio Bio,159,weiss,ja,nein,1,0,0,0,0,1,0,29,100,6,0,5,15
Feine Bitter,Vivani,Bio Bio,199,bitter,ja,nein,0,0,0,0,0,0,0,85,100,3,0,0,21
Vollmilch Nuss,Vivani,Bio Bio,159,vollmilch,ja,nein,0,1,0,0,0,1,0,33,100,8,10,0,6
Halbbitter,turata,Bio Bio,199,bitter,ja,nein,0,0,0,0,0,1,0,55,100,5,0,0,12
LacoaZartbitter,Lacoa,Bio Bio,119,vollmilch,ja,nein,0,0,0,0,0,0,0,70,100,3,0,0,21
LacoaVollmichschokolade,Lacoa,Bio Bio,119,vollmilch,ja,nein,0,0,0,0,0,1,0,33,100,7,0,0,16
DunkleVollmilch,Rapunzel,Bio Bio,199,vollmilch,ja,nein,0,0,0,0,0,1,0,46,100,5,0,0,7
Nirva,Rapunzel,Bio Bio,199,vollmilch,ja,nein,0,1,0,0,0,1,0,38,100,8,18,0,11
CocosCreme,Rapunzel,Bio Bio,199,vollmilch,ja,nein,0,0,0,0,0,1,1,38,100,8,0,0,11
